username,date,review_content,purchase_point,recommend,rating,jenis_produk,trend,age_category,periode_penggunaan,skintype,skintone,undertone
RegitaApriliani,2024-08-23,"Sunscreen ini bener-bener ringan banget ga, cepet merasakan juga gada white cast sama sekali,ga bikin perih dimata juga dari segi harga juga cukup affordable buat anak-anak sekolahan. Jadi sunscreen ini cocok banget buah anak sekolahan",Shopee,RegitaApriliani recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,78,remaja,Jangka Pendek,Combination,Medium Light,Neutral
lisanvra,2024-11-19,"Selama aku pake sunscreen ini selama kurleb 2 tahun diaku ini oke banget. Apalagi buat tipe kulit kayak aku yang dry, ini ga bikin tambah kering. Sukanya dia gaada wanginya jadi ga mengganggu, no whitecast, dan juga diaku produk ini cepat meresap. So highly recommended👍🏻",XBeauty by Female Daily,lisanvra recommends this product!,5,Azarine Hydramax C Sunscreen Serum,42,dewasa muda,Jangka Panjang,Dry,Light,Neutral
syifazzahr,2024-11-19,"Bagus bgt untuk kulit berjerawat dan berminyak, aku setelah pkai sunscreen ini wajahku ada efek cerahnya dan ngecalming juga untuk kulit yg kemerahan, aku pakai iji sudah setahun lebih hihi cocokk bangettt, price nya pun ramah di kantong #skincareempties",Official Brand Store,syifazzahr recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,42,dewasa muda,Jangka Pendek,Combination,Medium Light,Neutral
Daneraalf,2024-11-19,"Love hate sama ni produk, padahal teksturnya enak banget di kulit gabikin gerah atau sumuk, tapi ada aja numbuh jerawat kalo pake ini, lepas dari ini malah jarang muncul jerawat, harganya standar jadi sekarang udah gamake lagi, mungkin karena ada silicone ga cocok di aku nyumbat pori jadi gampang jerawat",Shopee,Daneraalf recommends this product!,3,Azarine Hydrashoote Sunscreen Gel,42,dewasa muda,Jangka Pendek,Combination,Medium,Warm
nurultikaa,2024-11-08,"Akhirnya aku ketemu dengan ss yang cocok dikulitku, btw tipe kulitku normal to dry. Sunscreen azarine mngandung serum dengan spf 50+++ yg bagus utk melindungi kulit dari paparan sinar matahari. Di aku selama 4 bulan pemakaian kulit ku jadi sehat, lembab dan glowwing.",Official Brand Store,nurultikaa recommends this product!,5,Azarine Hydramax C Sunscreen Serum,54,dewasa muda,Jangka Pendek,Normal,Medium,Neutral
dhonks,2024-11-08,"Pake produk ini untuk melundungi muka biar aman dari terpaan dan deraan sinar matahari, rasanya ooe sii dan gak lengket udah gitu teksturnya lembut. Kemasan oke denganbperpaduan warna yang menarikWorth it price lah menurutku. Recommended",Lazada,dhonks recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,54,paruh baya,Jangka Menengah,Combination,Medium Dark,Warm
Audita14,2024-11-08,"Siapa yg pake sunscreen berbeda utk di Wajah dan di leher? Sunscreen ini spesial utk penggunaan di leher di saya yah. Utk wajah saya menggunakan exclusively mineral sunscreen. Leher kan banyak lipatan dan pergerakan ny yah, menunduk, mendongak, menoleh, dll dan mineral sunscreen pasti makin kelihatan whitecast-nya pas keringatan tuh, streaky, dan mengumpul putih nya terutama di liputan leher. So, saya pake chemical sunscreen di leher. Saya suka, merekomendadikam dan akan terus lanjut menggunakan..",Shopee,Audita14 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,54,dewasa matang,Jangka Menengah,Combination,Medium,Neutral
miyah,2024-10-23,"sesuka itu sama sunscreen ini, selalu repurchase, spf-nya 50 PA++++ proteksi full buat yang mau aktivitas outdoor, tetep wajib reapply yaaacocok buat yang punya kulit kering, bikin glowing tapi gak bikin kusam,luv ❤️",Shopee,miyah recommends this product!,5,Azarine Hydramax C Sunscreen Serum,57,dewasa matang,Jangka Panjang,Combination,Medium,Neutral
wulanlarassaty,2024-10-23,"Sunscreen terringan karna teksturnya gel jadi mudah banget untuk ngebland dan langsung meresap, cocok untuk semua jenis kulit, dipakai sebelum makeup pun aman tidak geser makeupnya, dan buat kalian yg rutin treatment ini sunscreen cocok bgt dipakai setelah nya",Shopee,wulanlarassaty recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,57,dewasa muda,Jangka Menengah,Combination,Medium,Neutral
yourcindybae,2024-10-23,"Cinta banget sama Azarine karna ga overclaim🫶🏻Selama pake sunscreen ini bener bener ga ada efek aneh aneh, walaupun terpapar sinar matahari cukup intens karna aku pekerja lapangan tapi asal rajin reapply bener bener ga bikin belang. Perlindungan SPF nya bener bener nampol bgt🫶🏻🫶🏻 mau sungkem sama yg ownernya🙏🏻🙏🏻",Shopee,yourcindybae recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,57,dewasa muda,Jangka Menengah,Oily,Medium Light,Warm
Chloe25,2024-10-07,"Sunscreen dari azarine ini emang the best lah. Aku baru nemuin sunscreen yang ketahanannya sebagus ini, pokoknya engga takut belang lagi. Teksturnya yang creamy dan tidak menyengat sama sekali. Perlindungan maksimal dengan 3 ruas jari. Aku tuh paling suka sama sunscreen yg ukurannya medium kek gini.",Traditional Market,Chloe25 recommends this product!,5,Azarine Hydramax C Sunscreen Serum,50,dewasa muda,Jangka Pendek,Combination,Medium,Neutral
syifaanisatr,2024-10-07,"Salah satu my fav sunscreen hihi, suka banget cepat nyerapnyaaaa dimuka & gak lengket sama sekali!!!! Mudah ditemui dimana2 sekarang guys, cusss yang belum TRY, TRY yukkkk lindungi wajahmu sedari dini biar nanti tidak ada noda2 hitam🙏🏽🫵🏾🤪🤪🤪",Alfamart,syifaanisatr recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,50,dewasa muda,Jangka Menengah,Combination,Medium,Warm
genn,2024-09-07,"Best sunscreen I've ever purchased!! Sunscreen ini non white cast, trus light weight jugaa. Cocok buat jadi rangkaian skin prep sihh soalnya dia cepat nyerap dan ga bikin base make up ngeser gitu. Di kulit oily ku jujur dia tetap bikin minyakan, cuma menurutku ini lebih oke daripada yang hydrashoote since dia gaada bikin sensasi kulit ketarik dan ga kusem gitu. DEFINITELY REPURCHASE",Shopee,genn recommends this product!,5,Azarine Hydramax C Sunscreen Serum,59,dewasa muda,Jangka Pendek,Oily,Light,Neutral
alifyayuniar,2024-09-07,"Local pride user harus coba ini. Sunscreen nya bagus, gak lengket, mudah menyerap juga, gampang di apply cocok banget buat yang muka nya oily kaya aku. Untuk daily ini cocok banget gak ninggalin whitecast.",Shopee,alifyayuniar recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,59,dewasa muda,Jangka Menengah,Oily,Medium,Neutral
shasafaz,2024-09-07,"udah dari sma aku pake ini, sekarang uda mau lulus kuliah... bagus banget, ga lengket, cepet ngeresap, dannnn yg pasti no whitecast yaaa.... overall selama aku pake ini, ga kenapa napa sii yaa, tp sekarang aku uda gantii kee azarine yg biruuu mungielll. itu juga nampol, reviewnya ada di setelah ini yaa wkwkwkw",Shopee,shasafaz recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,59,dewasa muda,Jangka Panjang,Combination,Medium Light,Neutral
iamindahagustina,2024-08-30,"Setiap hari aku pakai sunscreen ini, apalagi di Karawang kan panas banget ya, wajib banget pakai. Yang aku suka ini tuh cepat meresap, nggak bikin kulit wajah abu-abu, ada vit C-nya, dan udah SPF 50 PA++++. The best, pokoknya aku suka banget. Kalau udah mau abis, kemasannya aku gunting jadi 2 bagian. Karena sayang banget, di dalamnya masih ada banyak 🤭😂. Pokoknya harus sampai habis!",Shopee,iamindahagustina recommends this product!,5,Azarine Hydramax C Sunscreen Serum,80,dewasa muda,Jangka Panjang,Combination,Medium Dark,Warm
MaDaffa,2024-08-30,"Bagus banget...dengan menggunakan sunscreen azarin yang hydramax bikin kulit cerah, flek hitam lama kelamaan jadi memudar, tidak bikin kulit berminyak,teksturnya sangat lembut tidak lengket, pokoknya recomend banget....",Shopee,MaDaffa recommends this product!,5,Azarine Hydramax C Sunscreen Serum,80,dewasa matang,Jangka Menengah,Normal,Medium,Neutral
shopiaardhanaa,2024-08-30,awalnya fomo HAHAHAHA!! tapi sempet takut juga pake ini karena mukamu sensitive dan banyak jerawat + bekasnya juga but a long story short dah pake ini selama more than 3 years mukaku jadi allhamdulilah membaik kirain bakalan melindungi dari matahari doang terrnyata membantu merawat acne ku juga,Shopee,shopiaardhanaa recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,80,dewasa muda,Jangka Panjang,Combination,Medium,Neutral
minty,2024-11-20,"enak banget teksturnya, ini favoritku kedua setelah yg buat acne. dia cocok buat oily/combi skin dan ga peeling dipakai dibawah makeup. perfect for daily use! dan isinya banyak ada yg versi gentong 100ml :D",Shopee,minty recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,39,dewasa muda,Jangka Pendek,Oily,Light,Cool
wiilnaayaya,2024-11-20,"awal pake ini, beneran bagus! ga bikin kulit kusam sama sekali. tekstur nya juga enak buat di blend ke muka. harga nya juga ramah di kantong, makannya repurches sampe 3x. tapi pas coba ke brand lain abis itu balik lagi ke ss azarine ini, gatau kenapa malah jadi kusam😣 tapi overall aku sukak kokk!!",Guardian,wiilnaayaya recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,39,dewasa muda,Jangka Pendek,Combination,Medium Dark,Neutral
Philly99,2024-11-20,"Aku cocok banget pake sunscreen azarine, awalnya aku pakai yg spray biar praktis eh pas coba yg ini enak juga, gak bikin oily di kulitku dan gak gampang lengket, reapply juga enak banget, must try sih bakal repurchase lagi yey !!",Shopee,Philly99 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,39,dewasa matang,Jangka Pendek,Combination,Medium Light,Neutral
Tatagils2,2024-11-18,"Ohalaaw, skg aku tau sih kenapa azarine sunscreen hydrasoothe bagus bgt, awalnya coba pake yg kecil dulu 30ml, eh jadi beli yg 110ml karna suka sama sunscreen azarine ini, pas dipake ada sensasi dingin ya, lembab gitu kaya abis cuci muka terus kering, aku ngerasa seger sih pake ini mungkin karna kulit jadi terhidrasi, dan teksturnya juga Gel milky gitu, gampang diblend ga ninggalin whitecase juga sih aman, ringan juga, pokonya aku suka",Instagram,Tatagils2 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,48,dewasa muda,Jangka Pendek,Normal,Dark,Neutral
yunisaan,2024-11-18,Azarine tuh akh bener2 pake pas lagi hype2nya sekitar 2 taun kebelakang WKWKWKW sampe skrg jugaksi. Love n hate aja deh dr awalnya cocok bgt parah sampe skrg ya so so gt🥲🥲 kayanya semenjak ganti formula diaku kaya gampang breakout gt deh hiks sedih tp ttp dipake buag leher dan pasti repurchase terus. Love azarine ss tuh dia ga bikin sumuk trs gampang nyerepnya kaya ga pake ss gapanas gak bikin sumuk. Hate-nya kdg bikin jerawat kecik2 gt hiks tp grgr pake azarine org2 rumah ngikutin dan istiqamah sampe skrg🤩🙏🤩🙏,Beautyhaul,yunisaan recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,48,dewasa muda,Jangka Pendek,Combination,Medium Light,Cool
azkinafara,2024-11-16,"Udah 4x ganti merk sunscreen tp masih gaada yg cocok. Akhirnya thn 2022 beli ss azarine pure iseng karena BA nya Lee Min Ho😭😭lah kok cocok😍keterusan deh sampe sekarang. Sangat amat ringan dan nyaman, cepat meresap, COCOK POKOKNYA. Best sunscreen 💋💋",Shopee,azkinafara recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,49,dewasa muda,Jangka Panjang,Oily,Medium,Neutral
rasellamutiara,2024-11-16,Suka banget sama texture sunscreennya karna ringan dan gak whitecast sama sekali pas diaplikasin ke wajahku yang sensitif ini huaaa plus ini aku beli ps jakarta x beauty dan dapet pc nya lee min hoo hahaha happy bgt udah cocok malah dapwt pc ayangku,XBeauty by Female Daily,rasellamutiara recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,49,dewasa muda,Jangka Menengah,Combination,Medium,Neutral
nawrahzhafirahh,2024-11-09,"Rekomended! Sunscreenazarine tidak lengket, cepat meresap, cocok untuk segala kulit, saking bagusnya aku juga rekomendasiin sunscreen azarine ke teman-teman dan keluargaku dan terbukti dimereka juga cocok, tidak bikin iritasi kulit atau semacamnya, worth to buy!",Shopee,nawrahzhafirahh recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,55,dewasa muda,Jangka Menengah,Combination,Medium Light,Neutral
multifangs,2024-11-07,Ini texturenya gel gitu kan jujur di aku gaada adem2nya sih.. btw Aku sempet pake seminggu-2 minggu gitu non stop dan menurut aku kurang cocok buat jangka panjang. Dia bikin kusem gitu pas siang jam 2an zzz jam 2.30 udah minyakan (aku pake kalo ga de jam7 jam 9 karna aky kuliah) entah menurut aku yg acne prone skin lebih pilih yang sunscreen agak bedak ada powder di dalemnnya gt sih drpd gel cream,Guardian,multifangs doesn't recommend this product!,2,Azarine Hydrashoote Sunscreen Gel,55,remaja,Jangka Pendek,Oily,Medium,Neutral
virlyalicia,2024-11-07,"Belum ada niatan ganti sunscreen lagi semenjak pake azarine hydrasoothe ini. Teksturnya ringan, meresapnya gampang, gak greasy juga pas dipake, nyaman pas reapply dan harganya sangat affordable, ada fragrance tp soft banget wanginya 😭👌",Shopee,virlyalicia recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,55,dewasa muda,Jangka Menengah,Oily,Light,Neutral
nurainaputrip,2024-11-06,"Sunscreen terbaik dari azarine yg bisa dipake sama aku dengan kulit oily dan sensitif banget 😂Pokoknya kalo pagi skin prep nya, toner, serum, dan langsung pake sunscreen ini karna udah ngebantu nge lembapin kulitTekstur nya juga gampang di blend dan nyerap, ga ada peeling atau white cast, bener bener nyaman sih pake si hydrasoothe ini",Shopee,nurainaputrip recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,58,dewasa muda,Jangka Menengah,Oily,Medium Light,Neutral
Sekar92,2024-11-06,"pas lagi viral-viralnya, aku juga ikut coba pake sunscreen yang satu ini. Menurut aku oke banget di muka apalagi kulitku tipe yang kering, jadi pake ini tuh langsung melembabkan rasanya. Jadi berasa gak pake sunscreen, tapi pake moisturizer. Tapi ya udah gitu aja. Dan aku gak repurchase lagi sih untuk yang ini. Karena lebih suka yang varian orennya, yang ada vit c gitu kalo gak salah",Shopee,Sekar92 recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,58,dewasa matang,Jangka Pendek,Dry,Medium Light,Cool
dindafebrianisyah,2024-10-30,"pengalaman sayas sejak menggunakan produk ini sangat bagus dan juga ringan saat di gunakan cocok untuk kulit oily dengan tekstur mudah di bland dan hargany pun cocok untuk pelajar, spf ny juga sudah oke untuk di gunakan di outdoor , jangan sampai skip sunscreen!!!!",Brand Website,dindafebrianisyah recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,47,dewasa muda,Jangka Panjang,Oily,Medium Light,Neutral
fzshakira_,2024-10-30,"suka banget sama tekstur gel nya😆, ngampang menyerap kulit, di aku ini bagus untuk skinprep sebelum make-up, jadi lumayan awet make-upnya 🙂‍↕️ ini bagus udah spf45 . dan ini udh upgrade formulanya jad lebih bagus, kelen cobain juga yuk, samaan pakai produk ini juga",Shopee,fzshakira_ recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,47,dewasa muda,Jangka Pendek,Combination,Medium Light,Neutral
risanugerah,2024-10-28,"Sunscreen kecintaan banget sampai rela dibelah biar tidak terisa sedikit pun hehe, teksturnya seperti gel jadi ringan banget dan mudah diserap kulit wajah. Selain itu kandungan produknya juga ga ada mengandung alkohol dan pewangi jadi aman banget dikulitku yang sensitif",Shopee,risanugerah recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,54,dewasa muda,Jangka Panjang,Dry,Medium Light,Neutral
WulanKurnia,2024-10-28,"Azarine Hydrasoothe Sunscreen Gel, holy grail sunscreen aku! Kulitku kombinasi cenderung berminyak dan sensitif, tapi sunscreen ini nggak bikin breakout sama sekali. Teksturnya ringan, menyerap cepat, dan nggak bikin kulitku jadi greasy.",Shopee,WulanKurnia recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,54,dewasa muda,Jangka Menengah,Oily,Medium Light,Neutral
Ayu_u30,2024-10-27,"Awal pakai ss azarine ini karena lihat kakakku sering pakai dan iseng ikutan pakai ss ini, ternyata dimuka aku bagus, ga bikin muka berminyak, finishing glowing, ga bikin dempul dimuka, ringan dimuka, cocok untuk sehari - hari, love it!!",Shopee,Ayu_u30 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,63,dewasa muda,Jangka Panjang,Normal,Medium,Neutral
riyenimeliala,2024-10-24,"Pertama kali coba, ringan, cepat meresap di kulit, dan tidak lengket.Produk ini tidak meninggalkan whitecast pada kulit.Cocok untuk kulitku yang kombinasi & natural matte finish.Dipakai setelah menggunakan pelembab pada pagi hari, bisa reapply setiap 3-4 jam sekali jika kegiatan di luar ruangan.",Brand Website,riyenimeliala recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,59,dewasa matang,Jangka Pendek,Combination,Medium,Neutral
bungaayuu,2024-10-24,"so sorry buat yang cocok dan suka sama produk ini, tapi di kulitku produk ini bikin breakout parah.. :( jerawat juga komedo langsung panen. dan aku ngerasanya kok malah gerah dan jadi kusam kalau pakai produk ini. so sorry :((",Shopee,bungaayuu doesn't recommend this product!,3,Azarine Hydrashoote Sunscreen Gel,59,dewasa muda,Jangka Pendek,Combination,Medium,Neutral
evelynvanessa,2024-10-22,One of my fav sunscreen! Non-sticky and non-greasy buat kamu yang punya combi-oily skin kayak aku! Overall super recommended soalnya murah + bagus + isinya banyak like what more do you need from a sunscreen?,Shopee,evelynvanessa recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,53,dewasa muda,Jangka Panjang,Combination,Light,Neutral
rarazarwanii,2024-10-22,"inii di kulit aku yg oily aman sihh control oil nya lumayan, truss gampang banget menyerapnya. kandungannya juga bagus bagus banget. trus packagingnya okee ga buat tumpah tumpah. pokoknya kalian wajib cobain deh yg kulitnya oily ataupun acne",Shopee,rarazarwanii recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,53,dewasa muda,Jangka Pendek,Combination,Medium Light,Neutral
araeoo22,2024-10-19,"Sunscreen azarine yg ini tuh helpful bgt buat aku, sebelum pake sunscreen azarine sempet pake merk lain sebenernya cocok juga tapi dimuka aku yg oily berasa berat trs juga meresap ke kulitnya lama sedangkan aku lumayan sibuk butuh yg cepet² dan pilihan aku di suncreen azarine ini, dia cepet meresap, ga whitecast, ringan juga dimuka aku yg oily dan sedikit bantu calming jerawat aku juga, akhir² ini aku juga suka pake ampe bibir juga dan dibibir aku juga engga berat dan malah ngeredain hiperpigmentasi di bibir aku juga",Shopee,araeoo22 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,63,dewasa muda,Jangka Panjang,Oily,Medium Light,Neutral
yupitet,2024-10-16,"not the type of sunscreen I like :( kalo kata orang - orang bagus, tapi entah kenapa waktu aku pake ini aku gak begitu suka sama teksture dan hasilnya dikulitku. malah bikin kulitku jadi kering. kayaknya ini cocok dipake sama yang kulitnya oily deh",Shopee,yupitet doesn't recommend this product!,3,Azarine Hydrashoote Sunscreen Gel,62,dewasa muda,Jangka Pendek,Dry,Light,Neutral
grasunshine,2024-10-13,"Sempat bingung milih sunscreen yang ringan, ga bikin kusam dan ga bikin oily. Udah nyoba brand ini itu dari murah sampai mahal. Lewat di social media,akhirnya iseng check out. Pertama kali aku nyoba yang ""calm my acne"" ternyata senyaman itu, dan pertama kali aku bisa ngabisin sunscreen sampai tetes terakhir. Pas udah ga jerawatan, akhirnya beralih ke yang hydrasoothe (awalnya sempat ragu karna takut teksturnya ga sama kayak calm my acne) ternyata aku cocok, sampai sekarang gamau ganti sunscreen ke yang lain lagi, karna udah senyaman itu sama azarine",Shopee,grasunshine recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,81,dewasa muda,Jangka Menengah,Dry,Medium Light,Neutral
ScarlettHana,2024-10-10,"Daily sunscreen ku sekarang yang murah bgt tp berkualitas. Efek melindungi dr sinar mataharinya dapet, no whitecast, nggak bkin jerawatan, nggak lengket, nggak berbau menyengat, dan juga nggak bkin berminyak! Teksturnya cair dan ga butuh waktu lama untuk kering",Shopee,ScarlettHana recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,62,dewasa matang,Jangka Panjang,Combination,Light,Cool
tasyeeeeeeee,2024-10-10,"awal awal dulu make ini iseng doang krna spf nya pas aja menurut aku ga kurang dan ga kelebihan, pas make eh cocok, malah lebih bagus dari sunscreen aku sebelumnya yg dari brand sebelah, mana harganya murah lagi 🥹 abis itu beli lagi dan lagi smpe ngerekom ke ibuku ❤️",FD Flash Sale,tasyeeeeeeee recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,62,dewasa muda,Jangka Panjang,Oily,Medium Light,Neutral
haiyogie04,2024-10-09,"sebelumnya udah cobain berbagai merk sunscreen tapi malah bikin makin kusam dan berminyak apalagi aku gampang keringetan tapii sekrng pake Azarine, ga bikin abu, mudah ngeblend dan ngebantu nahan sinar UV pas lagi ada kegiatan outdoor.",Shopee,haiyogie04 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,71,dewasa muda,Jangka Panjang,Combination,Medium Dark,Warm
noonaxx,2024-10-03,"Sejauh ini, SS yang teksturnya paling enak. Dia cepet nyerap ke kukit juga. Aman banget buat kulit sensitif. Terus tiap pake ini tuh muka jd keliatan kyk plumpy/bouncy gitu tp gk bikin berminyak samsekk",Shopee,noonaxx recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,45,dewasa muda,Jangka Pendek,Oily,Medium,Neutral
Dewiey,2024-10-01,"sunscreen teh the best buat aku, setelah perjalanan panjang mencari sunscreen yang cocok, ga bikin white cast, ga bikin ketarik, ga bikin berminyak, ga bikin jerawatan. teksturnya mirip cream tapi cepat meresap di kulit, ringan en ga kerasa gerah. pokoke top markotop. pemakaian sudah 3than. walau klaimnya lebih cocok untuk kulit berminyak tapi di kulit aku yang kering ini juga oke",Instagram,Dewiey recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,71,dewasa matang,Jangka Panjang,Dry,Medium Dark,Neutral
Witri20,2024-10-01,"Sangan suka dengan sunscreen azarine ini karna cocok untuk kulit wajah saya, tidak.menimbulkan white case, gel nya mudah d blend mudah meresap juga. Membuat kulitbterasa lembab dan terlindungin dari sinar uv. Wangi nya tidak.menyengat.",Shopee,Witri20 recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,71,dewasa matang,Jangka Pendek,Combination,Medium,Neutral
nurintan77,2024-09-22,"sudah lama tidak menggunakan produk ini.. sunscreen dari Azarine ini lumayan bagus dan cocok juga untuk pemakaian sehari-hari, tapi menurutku sunscreen ini membuat kulitku menjadi agak gelap setelah memakainya untuk kelembabannya oke siii tidak meningalkan white case ke wajah.",Brand Website,nurintan77 recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,51,dewasa muda,Jangka Pendek,Normal,Light,Neutral
dindaannnisa,2024-09-20,nemu sunscreen azarine hydrasoothe seneng banget ngefek banget di aku dan dia ga komedogenic tekstur gel cepet nyerap aku pernah dulu setelah cocok pakai ini sempet ganti sunscreen tapi ga cocok kusem dan muncul chicken skin setelah aku pakai ini lagi nampak sperti dlu cerahan dan dia bisa ngilangin efek chicken skin karena ga cocok sama sunscreen yang aku sempet ganti. sekian terimakasih,Traditional Market,dindaannnisa recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,36,dewasa muda,Jangka Menengah,Oily,Medium,Neutral
ainun_dahlia,2024-09-20,"Dari SMA udah pake sunscreen tapi selalu ngerasa gk cocok karna bikin kusam, awalnya coba punya temen sunscreen azarinne ini finishnya mate gk bikin kusam gt jadi sampe sekarang pakenya azarine terus gamau coba yang lain karna takut 😅",FD Flash Sale,ainun_dahlia recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,36,dewasa muda,Jangka Menengah,Dry,Medium,Neutral
vik_olive,2024-09-19,"Saat jerawatan parah, cb pakai ss ini karena uda bingung mau pakai apa (ada yg ngasih rekomendasi jg sih)., Saat dipakai ga lengket samsek, cepat meresap, ga bikin kulit belang, ga kusam, pdhl wajah ini berminyak.. Jerawat perlahan hilang. Terima kasih bgt sm owner ss ini🫰🏼Harganya juga terjangkau❤️",Official Brand Store,vik_olive recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,65,dewasa muda,Jangka Menengah,Oily,Medium,Neutral
Annisafirda13,2024-09-19,worth dengan harga se affordable itu..utk oily skin oke ya ngga bikin pori2 tersumbat dan acne...Ngga ada hint glow krna lebih ke matte sih menurutkuCepet kering juga diwajahso far bakal repurchase,FD Try and Review,Annisafirda13 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,65,dewasa matang,Jangka Panjang,Oily,Medium Light,Neutral
intennsaputri,2024-09-14,"sunscreen gel ini teksturnya ringan, cepat meresap, ga ada efek tone up di aku, adem pas di apply, dan ga buat kulit kusam. setau aku dia termasuk chemical yah tapi untuk kulit combine kaya aku dia masih aman sih pas aku timpa makeup sunscreen ini ga buat longsor",Indomaret,intennsaputri recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,77,dewasa muda,Jangka Pendek,Combination,Medium,Warm
Azeezahaw,2024-09-13,"Jadi tahu sih alasan kenapa sunscreen satu ini dulu sangat viral. Baru nyobain dan langsung suka. Teksturnya kaya pelembab, cepet nyerap, no whitecast, dan ada sensasi dinginya, aman dibawah makeup dan nggak peeling definisi nyenengin dan nggak neko-neko, dan yang bikin seneng lagi adalah harganya affordable dan masuk dikantong pelajar. Aku udah repurchase berkali-kali. Luv grab yours!!",Shopee,Azeezahaw recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,45,dewasa muda,Jangka Menengah,Dry,Light,Neutral
anandaaa_nur21,2024-09-12,"Awal make azarine bener-bener bagus karena skin type ku oily, yang punya oily skin cocok bgt sih azarine iniiii. Ga ada whitecast pula,,, harganya cocok bgt buat kantong pelajar... Recommended this product",Shopee,anandaaa_nur21 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,52,dewasa muda,Jangka Menengah,Oily,Medium,Neutral
ekklesiaeunikelase,2024-09-12,"My fav sunscreen so far. Teksturnya super ringan, ga sticky, gampang banget nyerep ke kulit wajah jadi ga ninggalin whitecast juga. Trus yang paling bikin aku seneng dari ss ini adalah dia ga bikin kulit aku keliatan kusam sama sekali. Oh iya, setauku ss ini cocok juga buat yang punya kulit sensitif, karena ga mengandung fragrance & alcohol 💗💗",Shopee,ekklesiaeunikelase recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,52,dewasa muda,Jangka Menengah,Dry,Medium,Neutral
faiza02,2024-09-11,"Sunscreennya bagus bett, ngak lengket sama sekali. Seminggu pake lansung ada perubahan di face aku. Yang awalnya berbinyak, jadi kurang berminyak dan bruntusan aku pun jadi ngak jelas. Pokoknya sunscreen azzarine ini emang best sunscreen menurut aku",Brand Website,faiza02 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,52,dewasa muda,Jangka Pendek,Oily,Medium Dark,Neutral
eldira03,2024-09-11,"Gampang menyerap dan cukup melembabkan jadi gak perlu pakai moisturizer lagi tapi kurang cocok dipakai untuk makeup, karena di bagian hidung  gak nempel makeupnya. Rekomen untuk yang gak suka makeup dan tipe kulit kering",FD Try and Review,eldira03 recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,52,dewasa muda,Jangka Pendek,Normal,Medium Dark,Warm
anitaflooo,2024-09-09,Sunscreen yg sempet hype sejuta umat. Iseng coba ehh malah cocok. Sayangnya aja kadang kurang konsisten makenya. Teksturnya creamy tp pas udh diolesin ke muka gk bikin lengket. Langsung ngeblend cepet nyerap dan gak bikin gerah atau ninggalin whitecast mau dipake setebel apapun itu worth to try pokoknya !,Shopee,anitaflooo recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,52,dewasa matang,Jangka Menengah,Dry,Medium Light,Neutral
